listEvents,2025-06-05 03:04:59
citire locatii,2025-06-05 03:05:01
citire artisti,2025-06-05 03:05:04
citire useri,2025-06-05 03:05:12
inserare user,2025-06-05 03:05:37
citire bilete,2025-06-05 03:05:55
citire bilete,2025-06-05 03:05:55
citire user,2025-06-05 03:06:03
citire Events,2025-06-05 03:06:03
inserare ticket,2025-06-05 03:06:13
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire Events,2025-06-05 03:06:18
citire useri,2025-06-05 03:06:23
delete user and tickets,2025-06-05 03:06:33
